ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
Biome,Biome,Classification by Olson et al. (2001) of the earth into fourteen units that host similar formations of plants and animals due to their climates. A single biome can be found over a range of continents.,,Ecology,Categorical,,,,1988
EcoRegion,EcoRegion,Classification by Olson et al. (2001) of the earth into zones (ecoregions) encompassing distinct biotas. Ecoregions are nested within Biomes.,,Ecology,Categorical,,,,1981
